year,price,units,duoarea,area_name,process,process_name,series,series_description
2011,5.13,$/MCF,NUS,U.S.,PIN,Industrial Price,N3035US3,United States Natural Gas Industrial Price (Dollars per Thousand Cubic Feet)
2011,3.84,$/MCF,SAK,USA-AK,PIN,Industrial Price,N3035AK3,Alaska Natural Gas Industrial Price (Dollars per Thousand Cubic Feet)
2011,8.91,$/MCF,NUS,U.S.,PCS,Price Delivered to Commercial Sectors,N3020US3,U.S. Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet)
2011,8.09,$/MCF,SAK,USA-AK,PCS,Price Delivered to Commercial Sectors,N3020AK3,Alaska Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet)
2011,11.03,$/MCF,NUS,U.S.,PRS,Price Delivered to Residential Consumers,N3010US3,U.S. Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet)
2011,8.77,$/MCF,SAK,USA-AK,PRS,Price Delivered to Residential Consumers,N3010AK3,Alaska Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet)
2011,7.48,$/MCF,NUS,U.S.,PDV,Vehicle Fuel Price,NA1570_NUS_3,U.S. Natural Gas Vehicle Fuel Price (Dollars per Thousand Cubic Feet)
2010,6.18,$/MCF,NUS,U.S.,PG1,City Gate Price,N3050US3,U.S. Natural Gas Citygate Price (Dollars per Thousand Cubic Feet)
2010,6.67,$/MCF,SAK,USA-AK,PG1,City Gate Price,N3050AK3,Natural Gas Citygate Price in Alaska (Dollars per Thousand Cubic Feet)
2010,5.27,$/MCF,NUS,U.S.,PEU,Electric Power Price,N3045US3,U.S. Natural Gas Electric Power Price (Dollars per Thousand Cubic Feet)
2010,,$/MCF,SAK,USA-AK,PEU,Electric Power Price,N3045AK3,Alaska Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet)
